Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-12-28,2022,December,28,86.35,84.07,86.69,85.38,84.17,10276350
2022-12-29,2022,December,29,84.16,84.16,88.24,86.19999999999999,87.19,11250393
2022-12-30,2022,December,30,87.19,85.23,87.21,86.22,86.9,13842012
2022-12-31,2022,December,31,86.9,86.83,86.93,86.88,86.88,3942134
2023-01-03,2023,January,3,88.98,87.83,89.97,88.9,88.99,8501921
2023-01-04,2023,January,4,88.98,88.97,92.75,90.86,91.97,10087083
2023-01-05,2023,January,5,91.98,90.51,92.48,91.495,91.96,8622157
2023-01-06,2023,January,6,91.95,91.32,94.69,93.005,93.91,8279986
2023-01-07,2023,January,7,93.92,93.9,93.94,93.92,93.92,1684771
2023-01-09,2023,January,9,94.43,93.45,95.7,94.575,94.8,7553691
2023-01-10,2023,January,10,94.82,93.82,95.64,94.72999999999999,95.58,7863849
2023-01-11,2023,January,11,95.58,95.05,96.55,95.8,96.26,5890990
2023-01-12,2023,January,12,96.26,96.26,100.63,98.445,99.82,15696797
2023-01-13,2023,January,13,99.79,98.01,99.81,98.91,99.38,9017861
2023-01-14,2023,January,14,99.38,99.37,99.45,99.41,99.4,1183394
2023-01-17,2023,January,17,100.32,99.0,100.99,99.995,99.9,9260567
2023-01-18,2023,January,18,99.9,98.72,101.13,99.925,98.97,9010877
2023-01-19,2023,January,19,99.03,97.12,99.45,98.285,99.05,7654550
2023-01-20,2023,January,20,99.04,99.04,103.59,101.315,103.52,11900569
2023-01-21,2023,January,21,103.52,103.43,103.53,103.48,103.48,2377607
2023-01-23,2023,January,23,103.29,102.92,105.95,104.435,105.68,7968772
2023-01-24,2023,January,24,105.68,102.0,108.44,105.22,105.98,6996412
2023-01-25,2023,January,25,105.98,104.18,108.16,106.17,108.12,8003865
2023-01-26,2023,January,26,108.12,107.57,109.71,108.63999999999999,109.69,7482243
2023-01-27,2023,January,27,109.69,109.16,110.58,109.87,109.5,8307594
2023-01-28,2023,January,28,109.52,109.5,109.54,109.52000000000001,109.54,862228
2023-01-30,2023,January,30,108.26,107.49,108.97,108.22999999999999,107.56,5734871
2023-01-31,2023,January,31,107.55,107.45,108.72,108.08500000000001,108.52,5787067
2023-02-01,2023,February,1,108.52,106.9,109.94,108.42,109.45,8396954
2023-02-02,2023,February,2,109.43,109.39,113.53,111.46000000000001,113.18,10534196
2023-02-03,2023,February,3,113.27,110.37,113.27,111.82,110.71,10302204
2023-02-04,2023,February,4,110.7,110.69,110.71,110.69999999999999,110.71,809422
2023-02-06,2023,February,6,110.17,108.53,110.43,109.48,109.85,8285675
2023-02-07,2023,February,7,109.85,108.86,112.12,110.49000000000001,111.89,8131143
